epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.21419,1.49595,0.53973,1,1.48421,0.000235894,0.000235894,0.000235894
2,12.2396,1.08424,0.71233,1,1.29126,0.000467638,0.000467638,0.000467638
3,17.1871,0.83256,0.75068,1,1.21989,0.0006931,0.0006931,0.0006931
4,22.7263,0.70786,0.76986,1,1.19214,0.000685726,0.000685726,0.000685726
5,27.6333,0.60277,0.79452,1,1.16235,0.000676301,0.000676301,0.000676301
6,33.0722,0.52846,0.8,1,1.14884,0.000666876,0.000666876,0.000666876
7,37.8782,0.48345,0.80274,1,1.1394,0.000657451,0.000657451,0.000657451
8,42.4566,0.45904,0.79178,1,1.1355,0.000648026,0.000648026,0.000648026
9,47.368,0.42773,0.82466,1,1.12793,0.000638602,0.000638602,0.000638602
10,52.5507,0.36054,0.8274,1,1.10872,0.000629177,0.000629177,0.000629177
11,57.1683,0.33661,0.8137,1,1.11011,0.000619752,0.000619752,0.000619752
12,62.5749,0.33308,0.82192,1,1.11222,0.000610327,0.000610327,0.000610327
13,67.2828,0.29362,0.79726,1,1.12207,0.000600902,0.000600902,0.000600902
14,72.712,0.26255,0.80822,1,1.09839,0.000591478,0.000591478,0.000591478
15,78.2402,0.24368,0.80822,1,1.09888,0.000582053,0.000582053,0.000582053
16,83.3737,0.25567,0.82192,1,1.09794,0.000572628,0.000572628,0.000572628
17,88.4406,0.24982,0.79178,1,1.11108,0.000563203,0.000563203,0.000563203
18,93.0691,0.22733,0.83288,1,1.09017,0.000553778,0.000553778,0.000553778
19,97.7503,0.22931,0.8137,1,1.09367,0.000544354,0.000544354,0.000544354
20,102.288,0.18355,0.80548,1,1.10498,0.000534929,0.000534929,0.000534929
21,107.76,0.17701,0.83288,1,1.08077,0.000525504,0.000525504,0.000525504
22,112.515,0.17878,0.81096,1,1.08577,0.000516079,0.000516079,0.000516079
23,116.866,0.17105,0.82192,1,1.08927,0.000506654,0.000506654,0.000506654
24,121.407,0.1681,0.83836,1,1.07865,0.00049723,0.00049723,0.00049723
25,125.961,0.1775,0.84384,1,1.06873,0.000487805,0.000487805,0.000487805
26,130.388,0.13869,0.81644,1,1.06807,0.00047838,0.00047838,0.00047838
27,135.008,0.16441,0.83014,1,1.07869,0.000468955,0.000468955,0.000468955
28,139.561,0.17443,0.82466,1,1.08626,0.00045953,0.00045953,0.00045953
29,143.846,0.16092,0.8137,1,1.09379,0.000450106,0.000450106,0.000450106
