epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.55478,1.27884,0.74587,1,1.26605,0.0002363,0.0002363,0.0002363
2,13.3062,0.76584,0.80785,1,1.17377,0.000464909,0.000464909,0.000464909
3,19.0047,0.63371,0.79752,1,1.1485,0.000684093,0.000684093,0.000684093
4,24.4676,0.54603,0.80992,1,1.13037,0.000671588,0.000671588,0.000671588
5,30.0445,0.51626,0.82231,1,1.10687,0.000657451,0.000657451,0.000657451
6,36.103,0.46408,0.81612,1,1.11426,0.000643314,0.000643314,0.000643314
7,41.6231,0.40901,0.80992,1,1.1073,0.000629177,0.000629177,0.000629177
8,47.2354,0.36994,0.81818,1,1.10474,0.00061504,0.00061504,0.00061504
9,52.7329,0.34126,0.80372,1,1.11176,0.000600902,0.000600902,0.000600902
10,58.2663,0.31958,0.82025,1,1.10352,0.000586765,0.000586765,0.000586765
11,63.6827,0.30101,0.81818,1,1.09048,0.000572628,0.000572628,0.000572628
12,69.3198,0.27159,0.80579,1,1.1131,0.000558491,0.000558491,0.000558491
13,74.9182,0.27329,0.81198,1,1.11572,0.000544354,0.000544354,0.000544354
14,80.4313,0.24547,0.81818,1,1.08264,0.000530216,0.000530216,0.000530216
15,86.1183,0.2495,0.81405,1,1.10056,0.000516079,0.000516079,0.000516079
16,91.8521,0.2373,0.78926,1,1.11877,0.000501942,0.000501942,0.000501942
17,97.219,0.19545,0.81198,1,1.09125,0.000487805,0.000487805,0.000487805
18,102.652,0.2199,0.80785,1,1.10266,0.000473668,0.000473668,0.000473668
19,108.185,0.1919,0.79339,1,1.09647,0.00045953,0.00045953,0.00045953
20,113.807,0.1906,0.80165,1,1.10175,0.000445393,0.000445393,0.000445393
21,119.654,0.17315,0.80785,1,1.09509,0.000431256,0.000431256,0.000431256
22,125.317,0.17424,0.81612,1,1.08868,0.000417119,0.000417119,0.000417119
23,130.995,0.17283,0.79339,1,1.09521,0.000402982,0.000402982,0.000402982
24,136.62,0.17547,0.80785,1,1.08939,0.000388844,0.000388844,0.000388844
25,142.409,0.16629,0.78719,1,1.1239,0.000374707,0.000374707,0.000374707
26,147.862,0.16014,0.80992,1,1.10168,0.00036057,0.00036057,0.00036057
27,153.493,0.14698,0.80992,1,1.10101,0.000346433,0.000346433,0.000346433
28,159.327,0.13727,0.81198,1,1.10291,0.000332296,0.000332296,0.000332296
29,164.788,0.13167,0.80992,1,1.11938,0.000318158,0.000318158,0.000318158
30,170.521,0.14664,0.80579,1,1.09497,0.000304021,0.000304021,0.000304021
31,176.237,0.12916,0.82851,1,1.0892,0.000289884,0.000289884,0.000289884
32,181.878,0.12769,0.81612,1,1.09491,0.000275747,0.000275747,0.000275747
33,187.678,0.12744,0.78719,1,1.09961,0.00026161,0.00026161,0.00026161
34,193.347,0.12132,0.80165,1,1.09479,0.000247472,0.000247472,0.000247472
35,199.279,0.11368,0.78719,1,1.12183,0.000233335,0.000233335,0.000233335
36,204.825,0.11019,0.79132,1,1.10818,0.000219198,0.000219198,0.000219198
37,210.305,0.1241,0.79752,1,1.09424,0.000205061,0.000205061,0.000205061
38,216.101,0.11526,0.80165,1,1.09552,0.000190924,0.000190924,0.000190924
39,221.569,0.11152,0.80165,1,1.10425,0.000176786,0.000176786,0.000176786
40,227.375,0.10316,0.79752,1,1.10858,0.000162649,0.000162649,0.000162649
41,261.85,0.11253,0.81612,1,1.09265,0.000148512,0.000148512,0.000148512
42,267.373,0.09698,0.79752,1,1.13544,0.000134375,0.000134375,0.000134375
43,272.913,0.09816,0.81818,1,1.08569,0.000120238,0.000120238,0.000120238
44,278.356,0.09789,0.80372,1,1.11182,0.0001061,0.0001061,0.0001061
45,284.154,0.0908,0.79959,1,1.1026,9.19632e-05,9.19632e-05,9.19632e-05
46,289.96,0.09486,0.80165,1,1.11438,7.7826e-05,7.7826e-05,7.7826e-05
47,295.766,0.08602,0.79752,1,1.10693,6.36888e-05,6.36888e-05,6.36888e-05
48,301.253,0.08824,0.79959,1,1.10577,4.95516e-05,4.95516e-05,4.95516e-05
49,306.78,0.08571,0.79752,1,1.11755,3.54144e-05,3.54144e-05,3.54144e-05
50,312.094,0.08822,0.79752,1,1.08838,2.12772e-05,2.12772e-05,2.12772e-05
