epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.8979,1.27884,0.74587,1,1.26605,0.0002363,0.0002363,0.0002363
2,12.8207,0.76563,0.80579,1,1.17328,0.000470387,0.000470387,0.000470387
3,18.6679,0.63377,0.79752,1,1.14771,0.000700547,0.000700547,0.000700547
4,24.391,0.54725,0.80785,1,1.12982,0.000696328,0.000696328,0.000696328
5,30.471,0.51964,0.80992,1,1.11447,0.000690438,0.000690438,0.000690438
6,36.8077,0.46173,0.80785,1,1.11566,0.000684548,0.000684548,0.000684548
7,42.2351,0.41129,0.81818,1,1.10461,0.000678657,0.000678657,0.000678657
8,47.9405,0.37525,0.82025,1,1.10284,0.000672767,0.000672767,0.000672767
9,53.6831,0.34429,0.80992,1,1.11444,0.000666876,0.000666876,0.000666876
10,59.2543,0.32564,0.82025,1,1.10376,0.000660986,0.000660986,0.000660986
11,64.7984,0.31035,0.83264,1,1.08618,0.000655095,0.000655095,0.000655095
12,70.6869,0.28074,0.80579,1,1.11127,0.000649204,0.000649204,0.000649204
13,76.3974,0.27569,0.79132,1,1.12268,0.000643314,0.000643314,0.000643314
14,82.0932,0.25016,0.81405,1,1.08914,0.000637423,0.000637423,0.000637423
15,87.9176,0.2652,0.79959,1,1.1109,0.000631533,0.000631533,0.000631533
16,93.8657,0.25444,0.79132,1,1.12451,0.000625642,0.000625642,0.000625642
17,99.6008,0.20845,0.80165,1,1.10114,0.000619752,0.000619752,0.000619752
18,105.221,0.2363,0.81612,1,1.10815,0.000613862,0.000613862,0.000613862
19,110.928,0.19554,0.80165,1,1.09256,0.000607971,0.000607971,0.000607971
20,116.487,0.20248,0.79132,1,1.10107,0.000602081,0.000602081,0.000602081
21,122.257,0.19162,0.80165,1,1.09592,0.00059619,0.00059619,0.00059619
22,128.011,0.19649,0.81198,1,1.10126,0.0005903,0.0005903,0.0005903
23,134.013,0.19221,0.80165,1,1.09546,0.000584409,0.000584409,0.000584409
24,140.262,0.18273,0.80165,1,1.08984,0.000578519,0.000578519,0.000578519
25,146.265,0.18762,0.78306,1,1.13031,0.000572628,0.000572628,0.000572628
26,151.804,0.17561,0.78926,1,1.1142,0.000566737,0.000566737,0.000566737
27,157.495,0.16003,0.79545,1,1.10938,0.000560847,0.000560847,0.000560847
28,163.362,0.13846,0.79752,1,1.11496,0.000554956,0.000554956,0.000554956
29,169.004,0.14714,0.78719,1,1.13666,0.000549066,0.000549066,0.000549066
30,174.653,0.16088,0.79339,1,1.10852,0.000543175,0.000543175,0.000543175
31,180.45,0.139,0.81405,1,1.09622,0.000537285,0.000537285,0.000537285
32,186.178,0.1423,0.79959,1,1.10648,0.000531395,0.000531395,0.000531395
33,191.887,0.14548,0.79132,1,1.10281,0.000525504,0.000525504,0.000525504
34,197.686,0.14916,0.78719,1,1.1026,0.000519613,0.000519613,0.000519613
35,203.466,0.13111,0.79132,1,1.11804,0.000513723,0.000513723,0.000513723
36,208.983,0.13803,0.79545,1,1.11389,0.000507833,0.000507833,0.000507833
37,214.578,0.1525,0.79132,1,1.1059,0.000501942,0.000501942,0.000501942
38,220.531,0.12206,0.79132,1,1.09821,0.000496052,0.000496052,0.000496052
39,226.266,0.13584,0.78926,1,1.11401,0.000490161,0.000490161,0.000490161
40,232.372,0.11618,0.78306,1,1.11755,0.000484271,0.000484271,0.000484271
41,238.31,0.12647,0.78512,1,1.10165,0.00047838,0.00047838,0.00047838
42,244.323,0.10977,0.80165,1,1.14072,0.000472489,0.000472489,0.000472489
43,250.307,0.12752,0.79752,1,1.09042,0.000466599,0.000466599,0.000466599
44,255.977,0.13371,0.80165,1,1.12079,0.000460709,0.000460709,0.000460709
45,261.673,0.13267,0.79752,1,1.10626,0.000454818,0.000454818,0.000454818
46,267.561,0.1372,0.78926,1,1.11896,0.000448928,0.000448928,0.000448928
47,273.395,0.11641,0.78306,1,1.12589,0.000443037,0.000443037,0.000443037
48,279.268,0.11917,0.79752,1,1.11041,0.000437147,0.000437147,0.000437147
49,285.141,0.09393,0.80165,1,1.11465,0.000431256,0.000431256,0.000431256
50,291.231,0.11412,0.80579,1,1.0892,0.000425365,0.000425365,0.000425365
51,297.253,0.10571,0.79959,1,1.10315,0.000419475,0.000419475,0.000419475
52,302.903,0.1021,0.79132,1,1.10376,0.000413584,0.000413584,0.000413584
53,308.534,0.09418,0.79752,1,1.09427,0.000407694,0.000407694,0.000407694
54,314.131,0.08428,0.79132,1,1.11786,0.000401804,0.000401804,0.000401804
55,319.842,0.08667,0.78512,1,1.09729,0.000395913,0.000395913,0.000395913
56,325.384,0.09058,0.80372,1,1.09305,0.000390023,0.000390023,0.000390023
57,331.301,0.09666,0.78926,1,1.10504,0.000384132,0.000384132,0.000384132
58,336.85,0.0841,0.80579,1,1.0878,0.000378242,0.000378242,0.000378242
59,342.637,0.0965,0.80165,1,1.10303,0.000372351,0.000372351,0.000372351
60,348.24,0.0779,0.79959,1,1.10974,0.00036646,0.00036646,0.00036646
61,353.955,0.09428,0.79752,1,1.10071,0.00036057,0.00036057,0.00036057
62,359.84,0.10192,0.79132,1,1.09985,0.00035468,0.00035468,0.00035468
63,365.498,0.09843,0.79752,1,1.11102,0.000348789,0.000348789,0.000348789
64,371.185,0.08209,0.78719,1,1.11441,0.000342899,0.000342899,0.000342899
65,376.912,0.07381,0.80992,1,1.0899,0.000337008,0.000337008,0.000337008
66,382.776,0.06992,0.80165,1,1.11084,0.000331118,0.000331118,0.000331118
67,388.494,0.06327,0.80992,1,1.08649,0.000325227,0.000325227,0.000325227
68,394.02,0.07725,0.81405,1,1.1087,0.000319336,0.000319336,0.000319336
69,399.842,0.08122,0.79959,1,1.09467,0.000313446,0.000313446,0.000313446
70,405.446,0.078,0.79752,1,1.09763,0.000307555,0.000307555,0.000307555
71,411.194,0.08891,0.78926,1,1.1145,0.000301665,0.000301665,0.000301665
72,416.846,0.07399,0.78306,1,1.11475,0.000295775,0.000295775,0.000295775
73,422.905,0.09772,0.78512,1,1.10016,0.000289884,0.000289884,0.000289884
74,428.476,0.07577,0.79752,1,1.10736,0.000283994,0.000283994,0.000283994
75,434.133,0.10922,0.80579,1,1.11716,0.000278103,0.000278103,0.000278103
76,439.843,0.07543,0.81405,1,1.104,0.000272212,0.000272212,0.000272212
77,445.44,0.06939,0.79339,1,1.1048,0.000266322,0.000266322,0.000266322
78,451.105,0.07004,0.79132,1,1.10413,0.000260431,0.000260431,0.000260431
79,456.869,0.07128,0.80165,1,1.10748,0.000254541,0.000254541,0.000254541
80,462.698,0.06724,0.80165,1,1.09497,0.000248651,0.000248651,0.000248651
81,468.447,0.06274,0.79339,1,1.09393,0.00024276,0.00024276,0.00024276
82,474.097,0.05857,0.78719,1,1.12271,0.000236869,0.000236869,0.000236869
83,479.821,0.0661,0.79339,1,1.09668,0.000230979,0.000230979,0.000230979
84,485.547,0.0711,0.78926,1,1.10342,0.000225089,0.000225089,0.000225089
85,491.377,0.07609,0.79959,1,1.10773,0.000219198,0.000219198,0.000219198
86,497.086,0.06291,0.80165,1,1.08844,0.000213307,0.000213307,0.000213307
87,502.787,0.05897,0.79959,1,1.10583,0.000207417,0.000207417,0.000207417
88,508.572,0.06795,0.79752,1,1.0943,0.000201527,0.000201527,0.000201527
89,514.264,0.04798,0.78719,1,1.10724,0.000195636,0.000195636,0.000195636
